"ID","Category","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Source","Status","Confirmed In"
"Q001","Traffic Signs","Traffic signs drawn inside a red circle belong to which category?","Mandatory / regulatory signs","Cautionary signs","Informatory signs","Temporary signs","A","Circular signs with a red border give orders. Disobeying them is a punishable offence.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q002","Traffic Signs","Traffic signs drawn inside a triangle belong to which category?","Mandatory signs","Cautionary / warning signs","Informatory signs","Parking signs","B","Red-bordered triangles warn of a hazard ahead so the driver can slow down and prepare.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q003","Traffic Signs","Traffic signs drawn inside a rectangle belong to which category?","Mandatory signs","Cautionary signs","Informatory signs","Prohibitory signs","C","Rectangular signs give information such as facilities, directions and destinations.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q004","Traffic Signs","An octagonal red sign with the word STOP means","Stop","No parking","Hospital ahead","Give way","A","The driver must bring the vehicle to a complete halt before the stop line and proceed only when safe.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q005","Traffic Signs","A downward-pointing triangle with a red border means","Give way","Hospital ahead","Traffic island ahead","No entry","A","You must yield to traffic on the road you are entering and proceed only when the way is clear.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q006","Traffic Signs","A red circle with a horizontal white bar means","No entry","One way","Speed limit ends","No overtaking","A","No vehicle may enter that road from this point in the direction shown.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q007","Traffic Signs","A blue rectangle with a white arrow means","No entry","One way","Go straight only","Both directions prohibited","B","Traffic on that road may move only in the direction of the arrow.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q008","Traffic Signs","A red circle containing two opposing arrows (one red, one black) means","Vehicles prohibited in both directions","Left turn prohibited","Overtaking prohibited","Right turn prohibited","A","No vehicle may enter the road from either direction.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Telangana, Andhra Pradesh"
"Q009","Traffic Signs","A red circle with a black arrow turning right, struck through, means","Cycle prohibited","Truck prohibited","Right turn prohibited","Left turn prohibited","C","Turning right at that junction is not permitted.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Telangana, Andhra Pradesh"
"Q010","Traffic Signs","A red circle with a black U-shaped arrow struck through means","Left turn prohibited","Right turn prohibited","U-turn prohibited","Overtaking prohibited","C","Taking a U-turn at that place is prohibited.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q011","Traffic Signs","A red circle containing a car and a motorcycle means","Truck prohibited","All motor vehicles prohibited","Bullock cart prohibited","Cycle prohibited","B","Entry is barred to every class of motor vehicle at that point.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q012","Traffic Signs","A red circle showing a black car and a red car side by side means","Overtaking prohibited","Left turn prohibited","Right turn prohibited","Vehicles prohibited in both directions","A","Overtaking is not allowed on that stretch of road.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q013","Traffic Signs","A red circle containing a horn struck through means","No smoking","Cycle prohibited","Compulsory sound horn","Horn prohibited","D","Use of the horn is prohibited, typically near hospitals, schools and courts.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q014","Traffic Signs","A red circle containing a walking figure struck through means","Pedestrians prohibited","School zone","Play zone","Pedestrian crossing","A","Pedestrians are not permitted to use that road or carriageway.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q015","Traffic Signs","A red circle containing a bicycle struck through means","Cycle track","Cycles prohibited","Cycle parking","Cycle crossing","B","Cycles may not enter that road.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q016","Traffic Signs","A red circle containing a lorry struck through means","All vehicles prohibited","Truck parking","Ghat road","Trucks prohibited","D","Goods vehicles are not permitted beyond that point.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q017","Traffic Signs","A blue circle with a red border and a single red diagonal bar means","No stopping","Restriction ends","No parking","Speed limit","C","Parking is prohibited, though a momentary stop to pick up or set down is allowed.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q018","Traffic Signs","A blue circle with a red border and two red diagonal bars crossing means","No parking","No stopping or standing","Length limit","Speed limit","B","Neither parking nor stopping is permitted at any time on that stretch.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q019","Traffic Signs","A white circle crossed by black diagonal bands means","Stop","End of all restrictions","No entry","No parking","B","All speed and other restrictions imposed by earlier signs cease from this point.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q020","Traffic Signs","A red circle containing the numeral 50 means","Drive at a speed not exceeding 50 km/h","Drive at exactly 50 km/h","Drive at more than 50 km/h","Minimum speed 50 km/h","A","The figure shown is the maximum permitted speed in ideal conditions.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q021","Traffic Signs","A red circle showing two facing arrows with a figure such as 2 m means","Speed limit 2 km/h","Width limit - vehicles wider than the figure shown may not enter","Height limit","Length limit","B","The sign restricts the overall width of vehicles that may pass.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q022","Traffic Signs","A red circle showing two vertical arrows with a figure such as 3.5 m means","Vehicles taller than the figure shown may not enter","Only vehicles above that height may enter","Width limit","Axle load limit","A","It warns of a low structure ahead such as a bridge or tunnel.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q023","Traffic Signs","A red circle showing an axle with the figure in tonnes means","Speed limit","Length limit","Axle load limit","Gross weight limit","C","Vehicles whose load on any single axle exceeds the figure shown may not proceed.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q024","Traffic Signs","A red circle showing a lorry with a figure in metres alongside means","Length limit","Speed limit","Load limit","Height limit","A","Vehicles longer than the figure shown are prohibited.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q025","Traffic Signs","A blue circle with a white arrow pointing down-left means","One way","Left turn prohibited","Compulsory keep left","Compulsory turn left","C","Traffic must pass to the left of the island or divider.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q026","Traffic Signs","A blue circle with a white arrow pointing straight up means","No entry","Compulsory ahead only","Entry in both directions","One way","B","Traffic must proceed straight ahead only; turning is not permitted.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q027","Traffic Signs","A blue circle with a white arrow bending to the left means","Keep left","There is no road to the left","Compulsory turn left ahead","Side road left","C","Every vehicle must turn left at the junction ahead.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Telangana, Andhra Pradesh"
