"State / UT","Type","Official Question Bank","Test Format","Languages","Speed Schedule","Notes","Questions Applicable"
"Andhra Pradesh","State","Publishes its own bank","20 questions drawn at random; 60% needed. Departmental and secondary sources differ on whether the threshold is 12 or 16, so confirm at your RTO.","Telugu, Hindi, English","Motorcycle 50; LMV no default limit (65 for transport vehicles); medium 65; heavy 40 to 50; other vehicles 30.","Publishes an LLR Question Bank in three parts - Road Signs, Rules of Road Regulations and General Driving Principles - identical in structure to Telangana's. Four options per question.","277"
"Telangana","State","Publishes its own bank","20 questions drawn at random, 12 correct to pass, 10 minutes total. Confirmed on the department's own FAQ page.","Telugu, Hindi, English","Same schedule as Andhra Pradesh: motorcycle 50; LMV no default limit; medium 65; heavy 40 to 50.","Publishes the three-part LLR Question Bank in English, Telugu and Hindi. Four options per question. This is the single richest official source in the country.","277"
"Delhi","Union Territory","Publishes its own bank","Commonly 15 or 20 questions with a 60% threshold; the department publishes the bank rather than the format.","Hindi, English","Graded by road and vehicle: motorcycle 30 to 70; car 25 to 50; medium and heavy 20 to 40.","Publishes a 212-item Question Bank for the Computer Learner License Test as a downloadable PDF. Three options per question. Home-based testing available.","193"
"Maharashtra","State","Publishes its own bank","15 questions drawn at random, 9 correct to pass. Retest after 7 days.","Marathi, Hindi, English","Motorcycle 50; LMV no default limit (65 for transport vehicles); medium and heavy 65.","Publishes a 427-item Question Bank (English) with sign images. The widest syllabus of any state: first aid, tunnel emergencies, expressway lane discipline, emission limits and MV Act section numbers. Home-based testing available.","343"
"Kerala","State","Sarathi core bank only","Reported as 50 questions with 30 correct needed, per the MVD learner test SOP - the largest paper in the country. Confirm before your slot.","Malayalam, English","Highly graded: motorcycle 30 near schools, 45 on ghat roads, 50 in cities; car 50 city, 80 state highway, 90 national highway.","MVD runs an official Learner's License Exam Practice module on its site; the bank itself is served from the portal and is not published as a file.","440"
"Karnataka","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Kannada, Hindi, English","Motorcycle 50; cars no statewide limit (60 in Bengaluru, higher on specified roads); buses and goods 60.","Home-based testing available. Bank served through Sarathi.","440"
"Tamil Nadu","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Tamil, English","Motorcycle 60; cars 80, rising to 100 on four-lane and 120 on six-lane highways.","Bank served through Sarathi.","440"
"Uttar Pradesh","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Broadly 40 for motorcycles, cars and medium vehicles; 20 to 40 for heavy vehicles.","Sarathi generates a state LLTEST question bank report chaptered into Rules, Mandatory, Cautionary and Informatory.","440"
"Bihar","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central and state notifications; confirm locally.","Sarathi generates a state LLTEST question bank report, one of the largest by page count.","440"
"Gujarat","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Gujarati, Hindi, English","Follows central and state notifications; confirm locally.","Sarathi LLTEST report for Gujarat runs to 66 items in English, chaptered into Rules, Mandatory, Cautionary and Informatory.","440"
